ethnic,software,rsquared,rsquared_LL,rsquared_UL,tier
EUR,anno1500,0.068737734,0.058938408,0.078537061,tier0
EUR,anno1500,0.070439006,0.060537275,0.080340737,tier1
EUR,anno1500,0.068953114,0.059140717,0.078765511,tier2
EUR,anno1500,0.068439037,0.058657889,0.078220185,tier3
EUR,anno1500,0.070975822,0.061042172,0.080909472,tier4
SAS,anno1500,0.076662941,0.06560687,0.087719011,tier0
SAS,anno1500,0.078065921,0.066926095,0.089205747,tier1
SAS,anno1500,0.072974951,0.062145008,0.083804894,tier2
SAS,anno1500,0.074327254,0.06341337,0.085241137,tier3
SAS,anno1500,0.073407868,0.062550921,0.084264814,tier4
EAS,anno1500,0.039253966,0.023555061,0.054952871,tier0
EAS,anno1500,0.042514017,0.026231652,0.058796382,tier1
EAS,anno1500,0.041335445,0.025260594,0.057410297,tier2
EAS,anno1500,0.042707622,0.026391525,0.05902372,tier3
EAS,anno1500,0.043487477,0.027036498,0.059938456,tier4
AFR,anno1500,0.009674921,0.004960509,0.014389333,tier0
AFR,anno1500,0.008248899,0.003889499,0.012608299,tier1
AFR,anno1500,0.00918987,0.004592905,0.013786834,tier2
AFR,anno1500,0.009469494,0.004804434,0.014134555,tier3
AFR,anno1500,0.012085612,0.006829318,0.017341907,tier4
EUR,anno1500,0.066165318,0.061246557,0.071084079,none
SAS,anno1500,0.073297082,0.067761343,0.078832821,none
EAS,anno1500,0.038859178,0.030886637,0.046831719,none
AFR,anno1500,0.009227771,0.00687764,0.011577903,none